# Mamba-DEKF Training Log (cleaned — 75 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/trainlog_history/0530_train.log
# Cleaned: 2026-05-30 08:46:55
#
22:48:34 [INFO] Logging to checkpoints/mamba_dekf/train.log
22:48:34 [INFO] Device: cuda
22:48:47 [INFO] Train: 482130 samples, 3766 batches (K=4)
22:48:47 [INFO] Val:   91164 samples, 713 batches (K=4)
22:48:47 [INFO] TemporalMamba: 460,584 trainable parameters

05:39:39 [INFO] Epoch 52/100 (453.0s) | loss=-24.8468 (raw=-24.8244) pos=-0.3309 siz=-1.2471 ori=-1.4037 vel=-0.0810 nis=0.3595 ua=1.00 contrast=0.1062 | val=-23.8194 val_pos=-0.2912 | k_m=5.26 k_s=0.40 k_reg=0.0015 dp_reg=0.0000 | NaN=0
05:47:44 [INFO] Epoch 53/100 (459.4s) | loss=-24.8208 (raw=-24.7966) pos=-0.3298 siz=-1.2474 ori=-1.4038 vel=-0.0816 nis=0.3595 ua=1.00 contrast=0.1141 | val=-23.7544 val_pos=-0.2882 | k_m=5.26 k_s=0.40 k_reg=0.0015 dp_reg=0.0000 | NaN=0
05:55:54 [INFO] Epoch 54/100 (462.6s) | loss=-24.8532 (raw=-24.8308) pos=-0.3311 siz=-1.2471 ori=-1.4040 vel=-0.0817 nis=0.3594 ua=1.00 contrast=0.1066 | val=-23.7973 val_pos=-0.2901 | k_m=5.27 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
06:03:56 [INFO] Epoch 55/100 (455.6s) | loss=-24.8771 (raw=-24.8559) pos=-0.3320 siz=-1.2472 ori=-1.4040 vel=-0.0816 nis=0.3593 ua=1.00 contrast=0.1007 | val=-23.9224 val_pos=-0.2956 | k_m=5.27 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
06:12:00 [INFO] Epoch 56/100 (457.5s) | loss=-24.8753 (raw=-24.8525) pos=-0.3320 siz=-1.2472 ori=-1.4038 vel=-0.0826 nis=0.3594 ua=1.00 contrast=0.1080 | val=-23.8164 val_pos=-0.2915 | k_m=5.26 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
06:20:07 [INFO] Epoch 57/100 (459.5s) | loss=-24.8534 (raw=-24.8311) pos=-0.3309 siz=-1.2476 ori=-1.4041 vel=-0.0816 nis=0.3592 ua=1.00 contrast=0.1055 | val=-23.8322 val_pos=-0.2915 | k_m=5.26 k_s=0.40 k_reg=0.0014 dp_reg=0.0000 | NaN=0
06:28:13 [INFO] Epoch 58/100 (459.9s) | loss=-24.8980 (raw=-24.8760) pos=-0.3327 siz=-1.2472 ori=-1.4045 vel=-0.0822 nis=0.3591 ua=1.00 contrast=0.1040 | val=-23.7904 val_pos=-0.2903 | k_m=5.25 k_s=0.40 k_reg=0.0014 dp_reg=0.0000 | NaN=0
06:36:21 [INFO] Epoch 59/100 (461.8s) | loss=-24.8563 (raw=-24.8336) pos=-0.3312 siz=-1.2474 ori=-1.4037 vel=-0.0819 nis=0.3590 ua=1.00 contrast=0.1076 | val=-23.8748 val_pos=-0.2931 | k_m=5.26 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
06:44:28 [INFO] Epoch 60/100 (460.0s) | loss=-24.8810 (raw=-24.8593) pos=-0.3322 siz=-1.2472 ori=-1.4039 vel=-0.0819 nis=0.3592 ua=1.00 contrast=0.1028 | val=-23.8050 val_pos=-0.2904 | k_m=5.25 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
06:52:42 [INFO] Epoch 61/100 (468.6s) | loss=-24.8921 (raw=-24.8702) pos=-0.3325 siz=-1.2476 ori=-1.4040 vel=-0.0815 nis=0.3589 ua=1.00 contrast=0.1038 | val=-23.8622 val_pos=-0.2930 | k_m=5.25 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
