# Mamba-Decoupled-EKF Training Log (cleaned — epoch summaries only)
# Config: train_nuscenes.yaml  |  Samples: Train=679,050  Val=131,343  K=3
# Model: TemporalMamba  |  Params: 89,154  |  Device: cuda
#
12:34:10 [INFO] Train: 679050 samples, 5305 batches (K=3)
12:34:10 [INFO] Val:   131343 samples, 1027 batches (K=3)
12:34:10 [INFO] TemporalMamba: 89,154 trainable parameters
15:09:37 [INFO] Epoch 67/100 (121.4s) | train_loss=-68.4625 pos=1.5315 siz=-3.2144 ori=-0.0009 contrast=0.8784 | val_loss=-66.8651 val_pos=1.5344 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:11:54 [INFO] Epoch 68/100 (120.0s) | train_loss=-68.4261 pos=1.5312 siz=-3.2139 ori=-0.0009 contrast=0.9440 | val_loss=-66.5844 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:14:12 [INFO] Epoch 69/100 (120.8s) | train_loss=-68.5214 pos=1.5309 siz=-3.2147 ori=-0.0009 contrast=0.8599 | val_loss=-66.5593 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:16:31 [INFO] Epoch 70/100 (121.6s) | train_loss=-68.3219 pos=1.5314 siz=-3.2117 ori=-0.0009 contrast=0.9043 | val_loss=-66.7501 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:18:50 [INFO] Epoch 71/100 (122.3s) | train_loss=-68.3718 pos=1.5313 siz=-3.2123 ori=-0.0009 contrast=0.8757 | val_loss=-66.6853 val_pos=1.5352 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:21:08 [INFO] Epoch 72/100 (120.8s) | train_loss=-68.2940 pos=1.5313 siz=-3.2112 ori=-0.0009 contrast=0.9208 | val_loss=-66.6628 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:23:25 [INFO] Epoch 73/100 (120.8s) | train_loss=-68.3550 pos=1.5313 siz=-3.2121 ori=-0.0009 contrast=0.8885 | val_loss=-66.5758 val_pos=1.5354 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:25:49 [INFO] Epoch 74/100 (124.8s) | train_loss=-68.3211 pos=1.5312 siz=-3.2114 ori=-0.0009 contrast=0.8924 | val_loss=-66.7946 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:28:09 [INFO] Epoch 75/100 (122.9s) | train_loss=-68.4072 pos=1.5312 siz=-3.2130 ori=-0.0009 contrast=0.8830 | val_loss=-66.8375 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:30:31 [INFO] Epoch 76/100 (123.3s) | train_loss=-68.3521 pos=1.5312 siz=-3.2122 ori=-0.0009 contrast=0.9176 | val_loss=-66.8515 val_pos=1.5347 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:32:50 [INFO] Epoch 77/100 (122.5s) | train_loss=-68.3724 pos=1.5314 siz=-3.2126 ori=-0.0009 contrast=0.8878 | val_loss=-66.6867 val_pos=1.5348 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:35:10 [INFO] Epoch 78/100 (123.1s) | train_loss=-68.3848 pos=1.5314 siz=-3.2129 ori=-0.0009 contrast=0.8969 | val_loss=-66.7352 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:37:27 [INFO] Epoch 79/100 (121.3s) | train_loss=-68.3842 pos=1.5313 siz=-3.2127 ori=-0.0009 contrast=0.8852 | val_loss=-66.8294 val_pos=1.5344 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:39:51 [INFO] Epoch 80/100 (125.1s) | train_loss=-68.4107 pos=1.5312 siz=-3.2130 ori=-0.0009 contrast=0.8753 | val_loss=-66.6675 val_pos=1.5347 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:42:10 [INFO] Epoch 81/100 (122.7s) | train_loss=-68.4455 pos=1.5313 siz=-3.2139 ori=-0.0009 contrast=0.8912 | val_loss=-66.7805 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:44:27 [INFO] Epoch 82/100 (119.6s) | train_loss=-68.4034 pos=1.5313 siz=-3.2128 ori=-0.0009 contrast=0.8633 | val_loss=-66.7527 val_pos=1.5353 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:46:51 [INFO] Epoch 83/100 (127.1s) | train_loss=-68.4193 pos=1.5312 siz=-3.2133 ori=-0.0009 contrast=0.8884 | val_loss=-66.7506 val_pos=1.5348 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:49:13 [INFO] Epoch 84/100 (122.8s) | train_loss=-68.4175 pos=1.5313 siz=-3.2131 ori=-0.0009 contrast=0.8703 | val_loss=-66.7409 val_pos=1.5353 | kappa_m=0.001 kappa_s=0.000 | NaN=0
