# Mamba-DEKF Training Log (cleaned — 100 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/trainlog_history/0519_train.log
# Cleaned: 2026-05-20 08:51:21
#
21:34:01 [INFO] Logging to checkpoints/mamba_dekf/train.log
21:34:01 [INFO] Device: cuda
21:34:16 [INFO] Train: 679050 samples, 5305 batches (K=3)
21:34:16 [INFO] Val:   131343 samples, 1027 batches (K=3)
21:34:17 [INFO] TemporalMamba: 141,608 trainable parameters
21:38:22 [INFO] Logging to checkpoints/mamba_dekf/train.log
21:38:22 [INFO] Device: cuda
21:40:40 [INFO] Train: 679050 samples, 5305 batches (K=3)
21:40:40 [INFO] Val:   131343 samples, 1027 batches (K=3)
21:40:40 [INFO] TemporalMamba: 303,144 trainable parameters

01:21:28 [INFO] Epoch 39/100 (352.8s) | loss=5.0310 (raw=5.0594) pos=0.8623 siz=-1.2662 ori=-1.3617 vel=0.7075 contrast=0.1510 | val=5.7593 val_pos=0.8900 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:27:41 [INFO] Epoch 40/100 (352.6s) | loss=5.0303 (raw=5.0602) pos=0.8625 siz=-1.2661 ori=-1.3626 vel=0.7068 contrast=0.1582 | val=5.7456 val_pos=0.8888 | k_m=5.31 k_s=0.36 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:33:47 [INFO] Epoch 41/100 (346.1s) | loss=5.0419 (raw=5.0722) pos=0.8628 siz=-1.2663 ori=-1.3621 vel=0.7075 contrast=0.1601 | val=5.8713 val_pos=0.8938 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:40:05 [INFO] Epoch 42/100 (357.1s) | loss=5.0509 (raw=5.0777) pos=0.8634 siz=-1.2661 ori=-1.3628 vel=0.7087 contrast=0.1428 | val=5.7591 val_pos=0.8896 | k_m=5.32 k_s=0.37 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:46:18 [INFO] Epoch 43/100 (353.9s) | loss=5.0240 (raw=5.0533) pos=0.8622 siz=-1.2667 ori=-1.3619 vel=0.7077 contrast=0.1554 | val=5.8611 val_pos=0.8939 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
01:52:34 [INFO] Epoch 44/100 (355.6s) | loss=5.0293 (raw=5.0602) pos=0.8622 siz=-1.2660 ori=-1.3617 vel=0.7080 contrast=0.1632 | val=5.7212 val_pos=0.8884 | k_m=5.32 k_s=0.36 k_reg=0.0018 dp_reg=0.0000 | NaN=0
01:58:40 [INFO] Epoch 45/100 (345.5s) | loss=4.9919 (raw=5.0184) pos=0.8609 siz=-1.2659 ori=-1.3621 vel=0.7075 contrast=0.1409 | val=5.7198 val_pos=0.8877 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:04:58 [INFO] Epoch 46/100 (356.8s) | loss=5.0073 (raw=5.0358) pos=0.8614 siz=-1.2662 ori=-1.3618 vel=0.7071 contrast=0.1512 | val=5.7504 val_pos=0.8890 | k_m=5.32 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:11:13 [INFO] Epoch 47/100 (356.3s) | loss=5.0237 (raw=5.0534) pos=0.8622 siz=-1.2661 ori=-1.3625 vel=0.7077 contrast=0.1571 | val=5.8272 val_pos=0.8924 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:17:29 [INFO] Epoch 48/100 (354.9s) | loss=5.0372 (raw=5.0656) pos=0.8626 siz=-1.2661 ori=-1.3619 vel=0.7080 contrast=0.1505 | val=5.8423 val_pos=0.8933 | k_m=5.30 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:23:41 [INFO] Epoch 49/100 (352.5s) | loss=5.0342 (raw=5.0627) pos=0.8628 siz=-1.2664 ori=-1.3628 vel=0.7077 contrast=0.1511 | val=5.7645 val_pos=0.8898 | k_m=5.32 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:29:52 [INFO] Epoch 50/100 (350.3s) | loss=5.0037 (raw=5.0346) pos=0.8614 siz=-1.2660 ori=-1.3625 vel=0.7073 contrast=0.1629 | val=5.8703 val_pos=0.8945 | k_m=5.30 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:36:04 [INFO] Epoch 51/100 (351.7s) | loss=5.0150 (raw=5.0404) pos=0.8618 siz=-1.2661 ori=-1.3621 vel=0.7078 contrast=0.1353 | val=5.6972 val_pos=0.8879 | k_m=5.30 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:42:22 [INFO] Epoch 52/100 (356.8s) | loss=5.0312 (raw=5.0598) pos=0.8625 siz=-1.2662 ori=-1.3622 vel=0.7080 contrast=0.1512 | val=5.7312 val_pos=0.8888 | k_m=5.30 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:48:38 [INFO] Epoch 53/100 (355.3s) | loss=4.9761 (raw=5.0004) pos=0.8606 siz=-1.2659 ori=-1.3632 vel=0.7075 contrast=0.1304 | val=5.7218 val_pos=0.8882 | k_m=5.31 k_s=0.38 k_reg=0.0017 dp_reg=0.0000 | NaN=0
02:54:47 [INFO] Epoch 54/100 (348.7s) | loss=4.9637 (raw=4.9900) pos=0.8600 siz=-1.2664 ori=-1.3628 vel=0.7071 contrast=0.1397 | val=5.7922 val_pos=0.8907 | k_m=5.30 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
03:00:52 [INFO] Epoch 55/100 (343.7s) | loss=4.9742 (raw=5.0015) pos=0.8604 siz=-1.2664 ori=-1.3627 vel=0.7073 contrast=0.1448 | val=5.8027 val_pos=0.8915 | k_m=5.31 k_s=0.37 k_reg=0.0017 dp_reg=0.0000 | NaN=0
03:07:04 [INFO] Epoch 56/100 (351.7s) | loss=4.9661 (raw=4.9926) pos=0.8597 siz=-1.2660 ori=-1.3616 vel=0.7070 contrast=0.1409 | val=5.8679 val_pos=0.8946 | k_m=5.30 k_s=0.38 k_reg=0.0017 dp_reg=0.0000 | NaN=0
03:13:21 [INFO] Epoch 57/100 (355.8s) | loss=4.9500 (raw=4.9770) pos=0.8593 siz=-1.2661 ori=-1.3623 vel=0.7067 contrast=0.1434 | val=5.8448 val_pos=0.8937 | k_m=5.30 k_s=0.38 k_reg=0.0017 dp_reg=0.0000 | NaN=0
03:19:41 [INFO] Epoch 58/100 (358.6s) | loss=5.0403 (raw=5.0674) pos=0.8628 siz=-1.2661 ori=-1.3622 vel=0.7084 contrast=0.1436 | val=5.8519 val_pos=0.8933 | k_m=5.30 k_s=0.38 k_reg=0.0017 dp_reg=0.0000 | NaN=0
03:25:57 [INFO] Epoch 59/100 (355.4s) | loss=4.9187 (raw=4.9457) pos=0.8583 siz=-1.2664 ori=-1.3632 vel=0.7055 contrast=0.1433 | val=5.8773 val_pos=0.8947 | k_m=5.29 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
03:32:09 [INFO] Epoch 60/100 (350.2s) | loss=4.9554 (raw=4.9784) pos=0.8595 siz=-1.2666 ori=-1.3618 vel=0.7066 contrast=0.1234 | val=5.8745 val_pos=0.8942 | k_m=5.30 k_s=0.38 k_reg=0.0017 dp_reg=0.0000 | NaN=0
03:38:26 [INFO] Epoch 61/100 (357.1s) | loss=4.9851 (raw=5.0099) pos=0.8608 siz=-1.2662 ori=-1.3627 vel=0.7078 contrast=0.1321 | val=5.7203 val_pos=0.8885 | k_m=5.29 k_s=0.37 k_reg=0.0016 dp_reg=0.0000 | NaN=0
03:44:49 [INFO] Epoch 62/100 (359.8s) | loss=4.9897 (raw=5.0153) pos=0.8609 siz=-1.2666 ori=-1.3619 vel=0.7074 contrast=0.1359 | val=5.8775 val_pos=0.8949 | k_m=5.29 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
03:51:20 [INFO] Epoch 63/100 (370.0s) | loss=4.9763 (raw=5.0007) pos=0.8603 siz=-1.2664 ori=-1.3617 vel=0.7067 contrast=0.1300 | val=5.7551 val_pos=0.8898 | k_m=5.30 k_s=0.39 k_reg=0.0017 dp_reg=0.0000 | NaN=0
03:57:48 [INFO] Epoch 64/100 (366.2s) | loss=4.9372 (raw=4.9618) pos=0.8590 siz=-1.2667 ori=-1.3625 vel=0.7064 contrast=0.1313 | val=5.8497 val_pos=0.8938 | k_m=5.29 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:04:20 [INFO] Epoch 65/100 (369.1s) | loss=4.9439 (raw=4.9699) pos=0.8592 siz=-1.2661 ori=-1.3628 vel=0.7068 contrast=0.1379 | val=5.7565 val_pos=0.8898 | k_m=5.28 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:10:50 [INFO] Epoch 66/100 (368.5s) | loss=4.9383 (raw=4.9611) pos=0.8591 siz=-1.2663 ori=-1.3627 vel=0.7071 contrast=0.1219 | val=5.6701 val_pos=0.8862 | k_m=5.28 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:17:19 [INFO] Epoch 67/100 (367.5s) | loss=4.9710 (raw=4.9943) pos=0.8604 siz=-1.2663 ori=-1.3628 vel=0.7070 contrast=0.1245 | val=5.7723 val_pos=0.8902 | k_m=5.29 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:23:46 [INFO] Epoch 68/100 (364.8s) | loss=4.9955 (raw=5.0243) pos=0.8610 siz=-1.2662 ori=-1.3619 vel=0.7076 contrast=0.1517 | val=5.7661 val_pos=0.8904 | k_m=5.29 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:30:03 [INFO] Epoch 69/100 (355.8s) | loss=4.9176 (raw=4.9436) pos=0.8583 siz=-1.2664 ori=-1.3632 vel=0.7066 contrast=0.1379 | val=5.7502 val_pos=0.8890 | k_m=5.29 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:36:33 [INFO] Epoch 70/100 (369.0s) | loss=4.9442 (raw=4.9691) pos=0.8592 siz=-1.2665 ori=-1.3624 vel=0.7068 contrast=0.1326 | val=5.7325 val_pos=0.8893 | k_m=5.28 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:43:04 [INFO] Epoch 71/100 (369.8s) | loss=4.9590 (raw=4.9815) pos=0.8599 siz=-1.2662 ori=-1.3628 vel=0.7069 contrast=0.1202 | val=5.6744 val_pos=0.8861 | k_m=5.28 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:49:27 [INFO] Epoch 72/100 (361.0s) | loss=5.0038 (raw=5.0269) pos=0.8616 siz=-1.2663 ori=-1.3624 vel=0.7080 contrast=0.1234 | val=5.8271 val_pos=0.8925 | k_m=5.28 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:55:48 [INFO] Epoch 73/100 (359.0s) | loss=4.9449 (raw=4.9704) pos=0.8593 siz=-1.2660 ori=-1.3629 vel=0.7065 contrast=0.1358 | val=5.7237 val_pos=0.8883 | k_m=5.28 k_s=0.38 k_reg=0.0016 dp_reg=0.0000 | NaN=0
05:02:21 [INFO] Epoch 74/100 (370.8s) | loss=4.9711 (raw=4.9956) pos=0.8602 siz=-1.2666 ori=-1.3622 vel=0.7076 contrast=0.1305 | val=5.7056 val_pos=0.8874 | k_m=5.28 k_s=0.39 k_reg=0.0016 dp_reg=0.0000 | NaN=0
05:08:44 [INFO] Epoch 75/100 (361.4s) | loss=4.9349 (raw=4.9562) pos=0.8590 siz=-1.2664 ori=-1.3628 vel=0.7069 contrast=0.1145 | val=5.7022 val_pos=0.8878 | k_m=5.28 k_s=0.39 k_reg=0.0016 dp_reg=0.0000 | NaN=0
05:15:10 [INFO] Epoch 76/100 (364.7s) | loss=4.9164 (raw=4.9406) pos=0.8582 siz=-1.2662 ori=-1.3630 vel=0.7065 contrast=0.1285 | val=5.9074 val_pos=0.8956 | k_m=5.28 k_s=0.39 k_reg=0.0016 dp_reg=0.0000 | NaN=0
05:21:18 [INFO] Epoch 77/100 (347.2s) | loss=4.9133 (raw=4.9361) pos=0.8580 siz=-1.2663 ori=-1.3626 vel=0.7063 contrast=0.1220 | val=5.8036 val_pos=0.8911 | k_m=5.28 k_s=0.39 k_reg=0.0016 dp_reg=0.0000 | NaN=0
05:27:44 [INFO] Epoch 78/100 (365.4s) | loss=4.9736 (raw=4.9965) pos=0.8604 siz=-1.2667 ori=-1.3622 vel=0.7070 contrast=0.1222 | val=5.7953 val_pos=0.8908 | k_m=5.28 k_s=0.39 k_reg=0.0016 dp_reg=0.0000 | NaN=0
05:34:12 [INFO] Epoch 79/100 (366.3s) | loss=4.8830 (raw=4.9064) pos=0.8566 siz=-1.2662 ori=-1.3620 vel=0.7061 contrast=0.1248 | val=5.7526 val_pos=0.8897 | k_m=5.28 k_s=0.39 k_reg=0.0016 dp_reg=0.0000 | NaN=0
